component,carrier,gbp_per_yr,kind,is_memo,note
Generator,gas,669567751.43,capex,False,
Generator,gas_ccs,2.42,capex,False,
Generator,offwind,3863627200.00,capex,False,
Generator,onwind,3331406838.33,capex,False,
Generator,solar,3550225406.85,capex,False,
Link,h2_turbine,56.92,capex,False,
StorageUnit,battery,9013574.59,capex,False,
Generator,blue_h2,350000039.86,opex,False,
Generator,export,-1941239504.93,opex,False,
Generator,gas,2865963482.41,opex,False,
Generator,gas_ccs,3.07,opex,False,
Generator,import,1190452836.86,opex,False,
Generator,nuclear,284853126.93,opex,False,
Generator,offwind,3193961.97,opex,False,
Generator,onwind,165399538.77,opex,False,
Link,h2_turbine,1.42,opex,False,
StorageUnit,battery,748429.27,opex,False,
memo,all,9720085394.70,memo_lp_objective,True,not additive with component rows
memo,all,4623127351.46,memo_fixed_asset_fom,True,not additive with component rows
memo,all,14343212746.16,total,True,not additive with component rows
