component,carrier,gbp_per_yr,kind,is_memo,note
Generator,gas,700067546.19,capex,False,
Generator,nuclear,520014880.43,capex,False,
Generator,offwind,3863627200.00,capex,False,
Generator,onwind,2764593407.10,capex,False,
Generator,solar,3386349795.34,capex,False,
StorageUnit,battery,8993183.47,capex,False,
StorageUnit,pumped_hydro,113120000.00,capex,False,
Generator,blue_h2,350000000.00,opex,False,
Generator,export,-1696630158.81,opex,False,
Generator,gas,4054120489.26,opex,False,
Generator,import,253954052.46,opex,False,
Generator,nuclear,293239248.35,opex,False,
Generator,offwind,3196954.20,opex,False,
Generator,onwind,148805792.51,opex,False,
StorageUnit,battery,809974.33,opex,False,
memo,all,9508000132.94,memo_lp_objective,True,not additive with component rows
memo,all,5256262231.90,memo_fixed_asset_fom,True,not additive with component rows
memo,all,14764262364.84,total,True,not additive with component rows
