component,carrier,gbp_per_yr,kind,is_memo,note
Generator,gas,525584103.37,capex,False,
Generator,gas_ccs,816158219.46,capex,False,
Generator,nuclear,520014880.43,capex,False,
Generator,offwind,3863627200.00,capex,False,
Generator,onwind,4433312783.48,capex,False,
Generator,solar,3818750170.33,capex,False,
Link,h2_turbine,141582160.19,capex,False,
StorageUnit,battery,252415048.55,capex,False,
StorageUnit,pumped_hydro,113120000.00,capex,False,
Store,h2_store,12858018.19,capex,False,
Generator,blue_h2,455599803.68,opex,False,
Generator,export,-2498575579.16,opex,False,
Generator,gas,249576609.83,opex,False,
Generator,gas_ccs,209956813.30,opex,False,
Generator,import,3431257719.65,opex,False,
Generator,nuclear,268593074.10,opex,False,
Generator,offwind,3189922.22,opex,False,
Generator,onwind,193780562.29,opex,False,
Link,h2_turbine,3771576.95,opex,False,
StorageUnit,battery,1125788.12,opex,False,
memo,all,11559436643.09,memo_lp_objective,True,not additive with component rows
memo,all,5256262231.90,memo_fixed_asset_fom,True,not additive with component rows
memo,all,16815698874.99,total,True,not additive with component rows
